id,plant_id,user_id,image_url,created_at,updated_at
23,61,23,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718691846/be-agriculture/tszd1cbj0hlnvv9gkllq.jpg,2024-06-18 06:24:07.209,2024-06-18 06:24:07.209
24,61,23,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718691969/be-agriculture/iwznrgvk95q1hhabbnhh.jpg,2024-06-18 06:26:09.824,2024-06-18 06:26:09.824
25,61,23,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718691994/be-agriculture/s6qq0v7rkoa3nuqrouvg.jpg,2024-06-18 06:26:34.694,2024-06-18 06:26:34.694
26,61,23,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718692114/be-agriculture/ruxxp9wkfwmlebmsxvky.png,2024-06-18 06:28:34.932,2024-06-18 06:28:34.932
27,75,14,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718700918/be-agriculture/qbiiwci3fvb9wnsgusyz.jpg,2024-06-18 08:55:18.746,2024-06-18 08:55:18.746
28,75,14,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718701317/be-agriculture/c4uxbmsdkwimqe6ejmqg.jpg,2024-06-18 09:01:57.549,2024-06-18 09:01:57.549
29,75,14,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718701457/be-agriculture/abmdpequ5tbmwaoynyk7.jpg,2024-06-18 09:04:18.157,2024-06-18 09:04:18.157
30,75,14,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718701702/be-agriculture/boyigjtd8adnh55zamyi.jpg,2024-06-18 09:08:23.158,2024-06-18 09:08:23.158
31,75,14,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718701808/be-agriculture/rjirunst8zhicup15y68.jpg,2024-06-18 09:10:08.294,2024-06-18 09:10:08.294
32,62,14,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718701828/be-agriculture/cmqozbxcfl9etyckrutf.jpg,2024-06-18 09:10:29.009,2024-06-18 09:10:29.009
33,61,23,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718735965/be-agriculture/vnmazuso0c6ucaidledx.jpg,2024-06-18 18:39:25.754,2024-06-18 18:39:25.754
34,61,28,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718767084/be-agriculture/py9rsmybfts17piicemv.jpg,2024-06-19 03:18:04.746,2024-06-19 03:18:04.746
35,61,14,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718793588/be-agriculture/ty0tt38gsvk7mygkhafk.jpg,2024-06-19 10:39:49.218,2024-06-19 10:39:49.218
36,61,35,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718821772/be-agriculture/ysna4kaljbmgvnhjvbkp.jpg,2024-06-19 18:29:32.527,2024-06-19 18:29:32.527
37,62,35,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718822099/be-agriculture/yaguov691f3w8bwsbdua.png,2024-06-19 18:35:00.122,2024-06-19 18:35:00.122
38,62,35,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718893098/be-agriculture/qs2fjalguemt3tdonq5p.jpg,2024-06-20 14:18:19.284,2024-06-20 14:18:19.284
39,62,37,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718939653/be-agriculture/ptzsaqoiabtde5a3duso.jpg,2024-06-21 03:14:13.670,2024-06-21 03:14:13.670
40,65,14,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718943344/be-agriculture/cfys6uuqnwb8shfkblbn.jpg,2024-06-21 04:15:45.226,2024-06-21 04:15:45.226
41,61,33,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718993605/be-agriculture/ykiuannweg8fxv3ikaqc.jpg,2024-06-21 18:13:26.053,2024-06-21 18:13:26.053
42,77,3,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719069211/be-agriculture/secgfu6nfjnbfvbgwcfq.jpg,2024-06-22 15:13:31.714,2024-06-22 15:13:31.714
43,85,3,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1719072496/be-agriculture/rde71khx9kxhdyhdeahj.jpg,2024-06-22 16:08:17.236,2024-06-22 16:08:17.236
