my_plant_id,planting_history_id,watering_history_id,watering_count,planting_count,user_plant_count
249,123,-1,31,136,82
247,121,-1,31,136,82
250,124,-1,31,136,82
246,120,-1,31,136,82
248,122,-1,31,136,82
177,49,10,31,136,82
177,49,11,31,136,82
177,49,12,31,136,82
177,49,13,31,136,82
177,49,14,31,136,82
177,49,18,31,136,82
177,49,33,31,136,82
177,49,35,31,136,82
177,51,10,31,136,82
177,51,11,31,136,82
177,51,12,31,136,82
177,51,13,31,136,82
177,51,14,31,136,82
177,51,18,31,136,82
177,51,33,31,136,82
177,51,35,31,136,82
177,83,10,31,136,82
177,83,11,31,136,82
177,83,12,31,136,82
177,83,13,31,136,82
177,83,14,31,136,82
177,83,18,31,136,82
177,83,33,31,136,82
177,83,35,31,136,82
179,49,10,31,136,82
179,49,11,31,136,82
179,49,12,31,136,82
179,49,13,31,136,82
179,49,14,31,136,82
179,49,18,31,136,82
179,49,33,31,136,82
179,49,35,31,136,82
179,51,10,31,136,82
179,51,11,31,136,82
179,51,12,31,136,82
179,51,13,31,136,82
179,51,14,31,136,82
179,51,18,31,136,82
179,51,33,31,136,82
179,51,35,31,136,82
179,83,10,31,136,82
179,83,11,31,136,82
179,83,12,31,136,82
179,83,13,31,136,82
179,83,14,31,136,82
179,83,18,31,136,82
179,83,33,31,136,82
179,83,35,31,136,82
209,49,10,31,136,82
209,49,11,31,136,82
209,49,12,31,136,82
209,49,13,31,136,82
209,49,14,31,136,82
209,49,18,31,136,82
209,49,33,31,136,82
209,49,35,31,136,82
209,51,10,31,136,82
209,51,11,31,136,82
209,51,12,31,136,82
209,51,13,31,136,82
209,51,14,31,136,82
209,51,18,31,136,82
209,51,33,31,136,82
209,51,35,31,136,82
209,83,10,31,136,82
209,83,11,31,136,82
209,83,12,31,136,82
209,83,13,31,136,82
209,83,14,31,136,82
209,83,18,31,136,82
209,83,33,31,136,82
209,83,35,31,136,82
176,48,-1,31,136,82
-1,8,-1,31,136,82
-1,15,-1,31,136,82
-1,4,-1,31,136,82
-1,5,-1,31,136,82
-1,7,-1,31,136,82
-1,10,-1,31,136,82
-1,12,-1,31,136,82
-1,16,-1,31,136,82
155,27,30,31,136,82
155,27,31,31,136,82
155,27,34,31,136,82
155,27,36,31,136,82
235,109,-1,31,136,82
225,-1,-1,31,136,82
-1,99,-1,31,136,82
180,52,-1,31,136,82
178,22,-1,31,136,82
178,50,-1,31,136,82
226,100,-1,31,136,82
172,44,-1,31,136,82
154,26,16,31,136,82
154,26,17,31,136,82
154,26,24,31,136,82
154,26,25,31,136,82
154,26,26,31,136,82
154,26,27,31,136,82
154,26,28,31,136,82
154,26,29,31,136,82
174,46,-1,31,136,82
175,47,-1,31,136,82
173,45,-1,31,136,82
208,25,8,31,136,82
208,82,8,31,136,82
171,43,-1,31,136,82
-1,3,-1,31,136,82
-1,6,-1,31,136,82
-1,9,-1,31,136,82
-1,11,-1,31,136,82
-1,13,-1,31,136,82
-1,14,-1,31,136,82
-1,19,-1,31,136,82
-1,85,-1,31,136,82
156,28,-1,31,136,82
212,86,-1,31,136,82
227,101,-1,31,136,82
210,24,9,31,136,82
210,84,9,31,136,82
253,128,-1,31,136,82
252,126,-1,31,136,82
252,127,-1,31,136,82
-1,-1,22,31,136,82
-1,-1,32,31,136,82
251,125,-1,31,136,82
194,-1,-1,31,136,82
-1,2,-1,31,136,82
137,-1,7,31,136,82
137,-1,21,31,136,82
137,-1,23,31,136,82
186,58,-1,31,136,82
185,57,-1,31,136,82
-1,56,-1,31,136,82
-1,88,-1,31,136,82
-1,87,-1,31,136,82
-1,40,-1,31,136,82
263,32,-1,31,136,82
263,33,-1,31,136,82
263,116,-1,31,136,82
263,117,-1,31,136,82
263,118,-1,31,136,82
263,119,-1,31,136,82
263,138,-1,31,136,82
182,54,-1,31,136,82
183,55,-1,31,136,82
-1,31,-1,31,136,82
-1,30,-1,31,136,82
163,35,-1,31,136,82
-1,20,-1,31,136,82
-1,21,-1,31,136,82
162,34,-1,31,136,82
260,135,-1,31,136,82
197,68,-1,31,136,82
197,136,-1,31,136,82
261,68,-1,31,136,82
261,136,-1,31,136,82
200,71,-1,31,136,82
167,39,-1,31,136,82
198,69,-1,31,136,82
164,36,-1,31,136,82
164,134,-1,31,136,82
259,36,-1,31,136,82
259,134,-1,31,136,82
202,76,-1,31,136,82
199,70,-1,31,136,82
169,29,-1,31,136,82
169,41,-1,31,136,82
169,67,-1,31,136,82
169,129,-1,31,136,82
169,130,-1,31,136,82
