id,user_id,plant_id,plant_name,plant_category,plant_image_url,created_at,updated_at
2,3,46,Rose update,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718464922/be-agriculture/kaebitbpvnjud9aowtjx.jpg,2024-06-15 23:57:01.054,2024-06-15 23:57:01.054
3,14,46,Rose update,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718464922/be-agriculture/kaebitbpvnjud9aowtjx.jpg,2024-06-16 04:29:58.931,2024-06-16 04:29:58.931
4,14,55,asdasd-dsfdsdf,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718511327/be-agriculture/xypbqi8ewu3rqyye8zhq.jpg,2024-06-16 04:36:07.031,2024-06-16 04:36:07.031
5,14,55,asdasd-dsfdsdf,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718511327/be-agriculture/xypbqi8ewu3rqyye8zhq.jpg,2024-06-16 04:56:05.872,2024-06-16 04:56:05.872
6,14,46,Rose update,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718464922/be-agriculture/kaebitbpvnjud9aowtjx.jpg,2024-06-16 04:56:47.220,2024-06-16 04:56:47.220
7,14,55,asdasd-dsfdsdf,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718511327/be-agriculture/xypbqi8ewu3rqyye8zhq.jpg,2024-06-16 07:33:02.184,2024-06-16 07:33:02.184
8,14,59,asdaasd-sdasd,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718514639/be-agriculture/enwpap7bfjcobyemhajr.jpg,2024-06-16 08:10:30.869,2024-06-16 08:10:30.869
9,14,46,Rose update,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718464922/be-agriculture/kaebitbpvnjud9aowtjx.jpg,2024-06-16 08:33:58.143,2024-06-16 08:33:58.143
10,14,55,asdasd-dsfdsdf,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718511327/be-agriculture/xypbqi8ewu3rqyye8zhq.jpg,2024-06-16 08:36:24.144,2024-06-16 08:36:24.144
11,14,46,Rose update,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718464922/be-agriculture/kaebitbpvnjud9aowtjx.jpg,2024-06-16 08:38:36.573,2024-06-16 08:38:36.573
12,14,55,asdasd-dsfdsdf,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718511327/be-agriculture/xypbqi8ewu3rqyye8zhq.jpg,2024-06-16 08:57:05.935,2024-06-16 08:57:05.935
13,14,46,Rose update,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718464922/be-agriculture/kaebitbpvnjud9aowtjx.jpg,2024-06-16 09:39:53.333,2024-06-16 09:39:53.333
14,14,46,Rose update,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718464922/be-agriculture/kaebitbpvnjud9aowtjx.jpg,2024-06-16 09:41:49.378,2024-06-16 09:41:49.378
15,14,59,asdaasd-sdasd,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718514639/be-agriculture/enwpap7bfjcobyemhajr.jpg,2024-06-16 09:56:38.963,2024-06-16 09:56:38.963
16,14,55,asdasd-dsfdsdf,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718511327/be-agriculture/xypbqi8ewu3rqyye8zhq.jpg,2024-06-16 10:53:20.200,2024-06-16 10:53:20.200
17,18,46,Rose update,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718464922/be-agriculture/kaebitbpvnjud9aowtjx.jpg,2024-06-16 11:31:45.458,2024-06-16 11:31:45.458
18,18,55,asdasd-dsfdsdf,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718511327/be-agriculture/xypbqi8ewu3rqyye8zhq.jpg,2024-06-16 11:34:16.193,2024-06-16 11:34:16.193
19,14,46,Rose update,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718464922/be-agriculture/kaebitbpvnjud9aowtjx.jpg,2024-06-16 12:21:05.912,2024-06-16 12:21:05.912
